name,Battles,Wins,Losses,Win Rate (%)
3-D Man,0,0,0,0.0
514A (Gotham),0,0,0,0.0
A-Bomb,0,0,0,0.0
Aa,0,0,0,0.0
Aaron Cash,0,0,0,0.0
Aayla Secura,0,0,0,0.0
Abe Sapien,0,0,0,0.0
Abin Sur,0,0,0,0.0
Abomination,0,0,0,0.0
Abra Kadabra (CW),0,0,0,0.0
Abra Kadabra,0,0,0,0.0
Absorbing Man (MCU),0,0,0,0.0
Absorbing Man,0,0,0,0.0
Ace Morgan,0,0,0,0.0
Achilles Warkiller,0,0,0,0.0
Acidicus,0,0,0,0.0
A'dal,0,0,0,0.0
Adam Monroe,0,0,0,0.0
Adam Strange,0,0,0,0.0
Agent 13 (MCU),0,0,0,0.0
Agent 13,0,0,0,0.0
Agent Bob,0,0,0,0.0
Agent Carter,0,0,0,0.0
Agent Coulson (Destroyer Gun),0,0,0,0.0
Agent Coulson (MCU),0,0,0,0.0
Agent May (MCU),0,0,0,0.0
Agent Zero (FOX),0,0,0,0.0
Agent Zero,0,0,0,0.0
A.I.M. Agent,0,0,0,0.0
Air-Walker,0,0,0,0.0
Ajax (FOX),1,1,0,100.0
Ajax,0,0,0,0.0
Akita,0,0,0,0.0
Alex Danvers (CW),0,0,0,0.0
Alex Mercer,0,0,0,0.0
Alfred (DCEU),0,0,0,0.0
Alien,0,0,0,0.0
Alita,0,0,0,0.0
All-father Hercules,0,0,0,0.0
Allan Quatermain,0,0,0,0.0
Altaïr Ibn-La'Ahad,0,0,0,0.0
Alucard,0,0,0,0.0
Amadeus Cho,0,0,0,0.0
Amanda Waller,0,0,0,0.0
A.M.A.Z.O. (CW),0,0,0,0.0
Amazo,0,0,0,0.0
Amygdala,0,0,0,0.0
Anacondrai Serpent,0,0,0,0.0
Ancalagon,0,0,0,0.0
Ancient One (MCU),0,0,0,0.0
Angel Dust,0,0,0,0.0
Angel Of Death,0,0,0,0.0
Angel Salvadore (FOX),0,0,0,0.0
Angel Salvadore,0,0,0,0.0
Angel,0,0,0,0.0
Angela,0,0,0,0.0
Animal Man,0,0,0,0.0
Annabeth Chase (FOX),0,0,0,0.0
Annihilus,0,0,0,0.0
Ant-Man II,0,0,0,0.0
Ant-Man (MCU),0,0,0,0.0
Ant-Man,0,0,0,0.0
Anti-Monitor,0,0,0,0.0
Anti-Spawn,0,0,0,0.0
Anti-Venom,2,1,1,50.0
Apocalypse (FOX),0,0,0,0.0
Aquababy,0,0,0,0.0
Aquagirl I,0,0,0,0.0
Aqualad II,0,0,0,0.0
Aqualad,0,0,0,0.0
Aquaman (Injustice),0,0,0,0.0
Aquaman,0,0,0,0.0
Aracnido Jr.,0,0,0,0.0
Aragorn,0,0,0,0.0
Archangel (FOX),0,0,0,0.0
Archangel,0,0,0,0.0
Arclight,0,0,0,0.0
Arcturus,0,0,0,0.0
Ardina,0,0,0,0.0
Ariel,0,0,0,0.0
Arizona Annie,0,0,0,0.0
Arkade,0,0,0,0.0
Arkillo,0,0,0,0.0
Armor,0,0,0,0.0
Arnim Zola (MCU),0,0,0,0.0
Arno Victor Dorian,0,0,0,0.0
Arnold Flass,0,0,0,0.0
Arsenal (CW),0,0,0,0.0
Arsenal,0,0,0,0.0
Artemis (CW),0,0,0,0.0
Arthur Dayne,0,0,0,0.0
Ash,0,0,0,0.0
Aspheera,0,0,0,0.0
Asura,0,0,0,0.0
Atom (CW),0,0,0,0.0
Atom Girl,0,0,0,0.0
Atom II,0,0,0,0.0
Atom IV,0,0,0,0.0
Atom Smasher (CW),1,0,1,0.0
Atomic Skull,0,0,0,0.0
Atomica,0,0,0,0.0
Attuma,0,0,0,0.0
Aurora,0,0,0,0.0
Avatar Korra,0,0,0,0.0
Azrael (Gotham),0,0,0,0.0
Aztar,0,0,0,0.0
Balder,0,0,0,0.0
Bane (Dark Knight),0,0,0,0.0
Bane (Injustice),0,0,0,0.0
Bane,0,0,0,0.0
Banshee (FOX),0,0,0,0.0
Banshee,0,0,0,0.0
Bantam,0,0,0,0.0
Barb Wire,0,0,0,0.0
Baron Mordo (MCU),0,0,0,0.0
Baron Zemo (MCU),0,0,0,0.0
Baron Zemo,0,0,0,0.0
Batcow,0,0,0,0.0
Batgirl III,0,0,0,0.0
Batgirl (Injustice),0,0,0,0.0
Batgirl IV,0,0,0,0.0
Batgirl (New 52),0,0,0,0.0
Batgirl VI,0,0,0,0.0
Batgirl,0,0,0,0.0
Bathound,0,0,0,0.0
